"('Ψ', 0.0)" "('Φ', 838.7388817079598)" "('Ζ', 1179.8097272687157)" "(' ', 1928.9040071725822)" "('Τ', 2097.123676261921)" "('Φ', 2097.123676261921)" "('Ρ', 2229.339948433058)" "('Δ', 2229.339948433058)" "('Η', 2229.339948433058)" "('Ω', 2229.339948433058)" "('Η', 2366.1460915137377)" "('Φ', 2366.1460915137377)" "('Μ', 2575.4267598445217)" "('Υ', 2575.4267598445217)" "('Φ', 2926.145704981164)" "('Δ', 2926.145704981164)" "('Γ', 3324.715604377829)" "('Ο', 3453.2964135954157)" "('Ι', 3453.2964135954157)" "('Τ', 4097.783288916891)" "('Γ', 4195.961255050072)" "(' ', 4195.961255050072)" "('Μ', 4598.53550721087)" "('Κ', 5365.448100215762)" "('Ο', 5402.464306392639)" "('Σ', 5766.650205625442)" "('Ι', 5987.1282162652515)" "('Λ', 9459.572899461607)" "(' ', 9459.572899461607)"
"('Ο', 0.0)" "('Ι', 0.0)" "('Φ', 739.2101458967948)" "('Δ', 739.2101458967948)" "('Γ', 1201.551718190189)" "(' ', 1201.551718190189)" "('Ρ', 1228.572299407031)" "('Δ', 1228.572299407031)" "('Η', 1228.572299407031)" "('Ω', 1228.572299407031)" "('Η', 1761.920292709571)" "('Φ', 1761.920292709571)" "('Τ', 1763.868058017555)" "('Φ', 1763.868058017555)" "('Γ', 2053.1376499705066)" "('Τ', 2127.945316668155)" "('Μ', 2163.6597071388583)" "('Σ', 2735.5508976509886)" "('Ψ', 3453.2964135954157)" "('Ο', 3599.85188535468)" "('Κ', 3904.917432220396)" "('Φ', 3905.116497176905)" "('Ι', 4255.07436939069)" "('Ζ', 4462.218693685325)" "(' ', 4928.190504234323)" "('Μ', 6028.48116413253)" "('Υ', 6028.48116413253)" "('Λ', 6641.287225789028)" "(' ', 6641.287225789028)"
"('Μ', 0.0)" "('Υ', 0.0)" "('Ζ', 1781.1156268232564)" "(' ', 2011.7199817680148)" "('Φ', 2304.7918113705837)" "('Ψ', 2575.4267598445217)" "('Τ', 4560.9694686572775)" "('Φ', 4560.9694686572775)" "('Η', 4783.285156240234)" "('Φ', 4783.285156240234)" "('Ρ', 4802.87186662687)" "('Δ', 4802.87186662687)" "('Η', 4802.87186662687)" "('Ω', 4802.87186662687)" "('Φ', 5479.080932951765)" "('Δ', 5479.080932951765)" "('Γ', 5612.421057450973)" "('Ο', 6028.48116413253)" "('Ι', 6028.48116413253)" "('Τ', 6423.646880219349)" "('Γ', 6714.661363414461)" "(' ', 6714.661363414461)" "('Μ', 6982.6110016293915)" "('Κ', 7351.585877348068)" "('Ο', 7515.427433501969)" "('Ι', 8013.121586957776)" "('Σ', 8235.433830062373)" "('Λ', 11765.243235746224)" "(' ', 11765.243235746224)"
"('Γ', 0.0)" "(' ', 0.0)" "('Μ', 1029.971355988805)" "('Ο', 1201.551718190189)" "('Ι', 1201.551718190189)" "('Τ', 1231.4707783281874)" "('Φ', 1304.7277891356916)" "('Δ', 1304.7277891356916)" "('Γ', 1613.651318063754)" "('Σ', 1619.3514620437122)" "('Η', 1980.7838585572497)" "('Φ', 1980.7838585572497)" "('Ρ', 2069.8631540740075)" "('Δ', 2069.8631540740075)" "('Η', 2069.8631540740075)" "('Ω', 2069.8631540740075)" "('Τ', 2160.8357144442675)" "('Φ', 2160.8357144442675)" "('Ο', 2512.656284962571)" "('Κ', 2890.1084239065276)" "('Ι', 3146.3944573181625)" "('Ψ', 4195.961255050072)" "('Φ', 4455.457243626801)" "('Ζ', 5309.7996686285205)" "('Λ', 5497.313857555712)" "(' ', 5497.313857555712)" "(' ', 5876.618917659658)" "('Μ', 6714.661363414461)" "('Υ', 6714.661363414461)"
"('Τ', 0.0)" "('Φ', 0.0)" "('Η', 309.6405689927571)" "('Φ', 309.6405689927571)" "('Ρ', 837.5756399451021)" "('Δ', 837.5756399451021)" "('Η', 837.5756399451021)" "('Ω', 837.5756399451021)" "('Φ', 1047.2424396549995)" "('Δ', 1047.2424396549995)" "('Γ', 1328.4491338876164)" "('Ο', 1763.868058017555)" "('Ι', 1763.868058017555)" "('Τ', 2033.3484243174964)" "('Ψ', 2097.123676261921)" "('Γ', 2160.8357144442675)" "(' ', 2160.8357144442675)" "('Φ', 2295.2232973265895)" "('Μ', 2505.2642216895024)" "('Ζ', 3260.7030210523412)" "('Ο', 3449.16256013452)" "('Κ', 3518.7999004239286)" "('Σ', 3684.073450410251)" "(' ', 3927.689052756559)" "('Ι', 4079.6726385778047)" "('Μ', 4560.9694686572775)" "('Υ', 4560.9694686572775)" "('Λ', 7370.9721105215185)" "(' ', 7370.9721105215185)"
"('Η', 0.0)" "('Φ', 0.0)" "('Τ', 309.6405689927571)" "('Φ', 309.6405689927571)" "('Γ', 1020.0372223311791)" "('Φ', 1023.0837580248005)" "('Δ', 1023.0837580248005)" "('Ρ', 1039.1151356045643)" "('Δ', 1039.1151356045643)" "('Η', 1039.1151356045643)" "('Ω', 1039.1151356045643)" "('Τ', 1740.4207798868804)" "('Ο', 1761.920292709571)" "('Ι', 1761.920292709571)" "('Γ', 1980.7838585572497)" "(' ', 1980.7838585572497)" "('Μ', 2233.9318101343583)" "('Ψ', 2366.1460915137377)" "('Φ', 2494.2533339447286)" "('Ο', 3141.5224434446827)" "('Κ', 3211.0652635902347)" "('Σ', 3452.1921513956277)" "('Ζ', 3538.3881297412363)" "('Ι', 3771.0884394900554)" "(' ', 4220.5064349971335)" "('Μ', 4783.285156240234)" "('Υ', 4783.285156240234)" "('Λ', 7093.626968562301)" "(' ', 7093.626968562301)"
"(' ', 0.0)" "('Ζ', 829.8989979551484)" "('Ψ', 1928.9040071725822)" "('Μ', 2011.7199817680148)" "('Υ', 2011.7199817680148)" "('Φ', 2381.211925102048)" "('Ρ', 3809.4478614214736)" "('Δ', 3809.4478614214736)" "('Η', 3809.4478614214736)" "('Ω', 3809.4478614214736)" "('Τ', 3927.689052756559)" "('Φ', 3927.689052756559)" "('Η', 4220.5064349971335)" "('Φ', 4220.5064349971335)" "('Φ', 4571.928475996685)" "('Δ', 4571.928475996685)" "('Ο', 4928.190504234323)" "('Ι', 4928.190504234323)" "('Γ', 5215.293613069821)" "('Γ', 5876.618917659658)" "(' ', 5876.618917659658)" "('Τ', 5959.984353412656)" "('Μ', 6419.161210723213)" "('Κ', 7292.354915233214)" "('Ο', 7315.468515036489)" "('Σ', 7489.798129548014)" "('Ι', 7909.4619607460645)" "('Λ', 11282.97715562052)" "(' ', 11282.97715562052)"
"('Λ', 0.0)" "(' ', 0.0)" "('Σ', 3905.804589423368)" "('Ι', 4018.858159780197)" "('Ο', 4336.987540221552)" "('Κ', 4654.735479353847)" "('Μ', 4866.958221543752)" "('Τ', 5369.060906520603)" "('Γ', 5497.313857555712)" "(' ', 5497.313857555712)" "('Γ', 6167.6401520315585)" "('Ο', 6641.287225789028)" "('Ι', 6641.287225789028)" "('Φ', 6768.824627192614)" "('Δ', 6768.824627192614)" "('Η', 7093.626968562301)" "('Φ', 7093.626968562301)" "('Τ', 7370.9721105215185)" "('Φ', 7370.9721105215185)" "('Ρ', 7531.674625844648)" "('Δ', 7531.674625844648)" "('Η', 7531.674625844648)" "('Ω', 7531.674625844648)" "('Ψ', 9459.572899461607)" "('Φ', 9470.33308010613)" "('Ζ', 10630.81313473637)" "(' ', 11282.97715562052)" "('Μ', 11765.243235746224)" "('Υ', 11765.243235746224)"
"('Ο', 0.0)" "('Ι', 0.0)" "('Φ', 739.2101458967948)" "('Δ', 739.2101458967948)" "('Γ', 1201.551718190189)" "(' ', 1201.551718190189)" "('Ρ', 1228.572299407031)" "('Δ', 1228.572299407031)" "('Η', 1228.572299407031)" "('Ω', 1228.572299407031)" "('Η', 1761.920292709571)" "('Φ', 1761.920292709571)" "('Τ', 1763.868058017555)" "('Φ', 1763.868058017555)" "('Γ', 2053.1376499705066)" "('Τ', 2127.945316668155)" "('Μ', 2163.6597071388583)" "('Σ', 2735.5508976509886)" "('Ψ', 3453.2964135954157)" "('Ο', 3599.85188535468)" "('Κ', 3904.917432220396)" "('Φ', 3905.116497176905)" "('Ι', 4255.07436939069)" "('Ζ', 4462.218693685325)" "(' ', 4928.190504234323)" "('Μ', 6028.48116413253)" "('Υ', 6028.48116413253)" "('Λ', 6641.287225789028)" "(' ', 6641.287225789028)"
"('Ο', 0.0)" "('Κ', 525.0628007336596)" "('Ι', 662.690899722031)" "('Μ', 1484.7762931561526)" "('Τ', 1529.9186523166468)" "('Γ', 2121.8346868961908)" "('Σ', 2178.574204227244)" "('Γ', 2512.656284962571)" "(' ', 2512.656284962571)" "('Η', 3141.5224434446827)" "('Φ', 3141.5224434446827)" "('Φ', 3292.448890603993)" "('Δ', 3292.448890603993)" "('Τ', 3449.16256013452)" "('Φ', 3449.16256013452)" "('Ο', 3599.85188535468)" "('Ι', 3599.85188535468)" "('Ρ', 3924.398796365003)" "('Δ', 3924.398796365003)" "('Η', 3924.398796365003)" "('Ω', 3924.398796365003)" "('Λ', 4336.987540221552)" "(' ', 4336.987540221552)" "('Φ', 5261.208474513709)" "('Ψ', 5402.464306392639)" "('Ζ', 6578.3256303804355)" "(' ', 7315.468515036489)" "('Μ', 7515.427433501969)" "('Υ', 7515.427433501969)"
